epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4859.37,0.51049,0.79349,1.66719,0.83429,0.91484,0.92496,0.91472,0.38391,0.74077,1.5261,2.9614e-05,2.9614e-05,2.9614e-05
41,5024.64,0.39441,0.71633,1.59324,0.84719,0.9217,0.92644,0.915,0.38392,0.7478,1.52357,2.704e-05,2.704e-05,2.704e-05
42,5150.96,0.37474,0.70642,1.59784,0.83663,0.93264,0.92682,0.91688,0.39058,0.72618,1.52373,2.4466e-05,2.4466e-05,2.4466e-05
43,5290.17,0.36888,0.68573,1.5944,0.83802,0.9197,0.93127,0.9201,0.38352,0.72134,1.52278,2.1892e-05,2.1892e-05,2.1892e-05
44,5452.5,0.36147,0.6672,1.59662,0.84191,0.91636,0.92814,0.91821,0.37262,0.71442,1.52137,1.9318e-05,1.9318e-05,1.9318e-05
45,5633.23,0.364,0.66066,1.58623,0.80776,0.94614,0.93191,0.92356,0.37268,0.73238,1.52192,1.6744e-05,1.6744e-05,1.6744e-05
46,5804.25,0.35582,0.65691,1.59365,0.80893,0.95374,0.93053,0.92058,0.36172,0.72392,1.51925,1.417e-05,1.417e-05,1.417e-05
47,5955.09,0.35848,0.64462,1.59251,0.84322,0.91124,0.92975,0.92306,0.36218,0.72222,1.51912,1.1596e-05,1.1596e-05,1.1596e-05
48,6109.22,0.35168,0.63327,1.5837,0.84306,0.91655,0.92825,0.92061,0.36303,0.72235,1.51914,9.022e-06,9.022e-06,9.022e-06
49,6250.96,0.34698,0.6278,1.58952,0.8306,0.933,0.92693,0.92035,0.35959,0.72593,1.51866,6.448e-06,6.448e-06,6.448e-06
50,6467.01,0.34167,0.62295,1.58434,0.84808,0.92457,0.92746,0.91969,0.35695,0.72303,1.51813,3.874e-06,3.874e-06,3.874e-06
