epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.207,0.87363,4.43253,1.20951,0.4034,0.26404,0.17188,0.16123,0.38793,3.08116,0.88073,4.27556e-05,4.27556e-05,4.27556e-05
2,290.597,0.48066,2.10895,0.94404,0.58539,0.49013,0.4804,0.45596,0.32253,1.59021,0.83569,8.43843e-05,8.43843e-05,8.43843e-05
3,464.414,0.4251,1.53319,0.91028,0.69943,0.53125,0.55555,0.53059,0.31402,1.26571,0.82439,0.000124297,0.000124297,0.000124297
4,641.701,0.39712,1.21255,0.89399,0.68044,0.57236,0.55037,0.52788,0.30159,0.98421,0.81526,0.000122278,0.000122278,0.000122278
5,825.398,0.3972,1.08838,0.89866,0.73754,0.73598,0.72396,0.6969,0.2806,0.87304,0.81297,0.000119704,0.000119704,0.000119704
6,995.29,0.36322,0.95667,0.8831,0.67034,0.83444,0.77547,0.7488,0.29244,0.80817,0.81581,0.00011713,0.00011713,0.00011713
7,1156.43,0.36774,0.86994,0.88133,0.73814,0.92532,0.83884,0.81802,0.26121,0.73261,0.80448,0.000114556,0.000114556,0.000114556
8,1314.87,0.35234,0.81948,0.87419,0.72238,0.93731,0.85823,0.83867,0.25418,0.66483,0.80251,0.000111982,0.000111982,0.000111982
9,1463.08,0.34965,0.79525,0.87604,0.76082,0.94459,0.86804,0.84577,0.25246,0.64211,0.80102,0.000109408,0.000109408,0.000109408
10,1621.52,0.33766,0.75181,0.87436,0.7525,0.94971,0.86867,0.85034,0.25015,0.60224,0.80331,0.000106834,0.000106834,0.000106834
11,1770.7,0.33679,0.7247,0.87608,0.76167,0.94989,0.86546,0.84267,0.25541,0.60346,0.80208,0.00010426,0.00010426,0.00010426
12,1922.7,0.33021,0.70638,0.86531,0.72575,0.96277,0.86066,0.84193,0.24305,0.60062,0.79768,0.000101686,0.000101686,0.000101686
13,2084.97,0.32569,0.69862,0.86587,0.76973,0.94902,0.85789,0.83756,0.25025,0.55896,0.80197,9.9112e-05,9.9112e-05,9.9112e-05
14,2249.87,0.31285,0.64418,0.8606,0.74253,0.98448,0.86084,0.84726,0.23703,0.54463,0.79764,9.6538e-05,9.6538e-05,9.6538e-05
15,2436.67,0.3164,0.63567,0.86339,0.74268,0.98,0.86768,0.85231,0.23301,0.55071,0.79526,9.3964e-05,9.3964e-05,9.3964e-05
16,2631.94,0.29876,0.61454,0.85505,0.74752,0.9714,0.86547,0.8492,0.22793,0.54191,0.79413,9.139e-05,9.139e-05,9.139e-05
17,2798.33,0.30814,0.63799,0.85878,0.75221,0.95959,0.86844,0.85417,0.23372,0.54275,0.79764,8.8816e-05,8.8816e-05,8.8816e-05
18,2948.73,0.29938,0.6126,0.85962,0.75698,0.97785,0.85999,0.84675,0.22284,0.52955,0.79428,8.6242e-05,8.6242e-05,8.6242e-05
19,3125.13,0.30647,0.62356,0.8607,0.74648,0.98162,0.86574,0.85086,0.21786,0.5032,0.79102,8.3668e-05,8.3668e-05,8.3668e-05
20,3293.89,0.3,0.58587,0.8596,0.74946,0.97928,0.86686,0.84672,0.23809,0.50376,0.79704,8.1094e-05,8.1094e-05,8.1094e-05
21,3466.59,0.28469,0.57797,0.84908,0.74727,0.9796,0.86929,0.85895,0.21202,0.50709,0.78893,7.852e-05,7.852e-05,7.852e-05
22,3643.34,0.28579,0.57268,0.85727,0.75076,0.97847,0.86403,0.85541,0.21172,0.50023,0.79047,7.5946e-05,7.5946e-05,7.5946e-05
23,3816.32,0.28989,0.56981,0.85733,0.73531,0.97009,0.8792,0.86462,0.22194,0.51769,0.79324,7.3372e-05,7.3372e-05,7.3372e-05
24,4015.04,0.28567,0.56362,0.85264,0.76247,0.98742,0.88196,0.87083,0.21617,0.47809,0.7938,7.0798e-05,7.0798e-05,7.0798e-05
25,4238.51,0.28459,0.55649,0.8551,0.76056,0.97916,0.87314,0.86418,0.20895,0.50064,0.79184,6.8224e-05,6.8224e-05,6.8224e-05
26,4407.18,0.27997,0.54734,0.85223,0.75363,0.97899,0.86573,0.85357,0.2094,0.48436,0.79042,6.565e-05,6.565e-05,6.565e-05
27,4544.93,0.27567,0.55369,0.85218,0.75433,0.97716,0.86186,0.85231,0.20746,0.50055,0.79341,6.3076e-05,6.3076e-05,6.3076e-05
28,4695.46,0.26943,0.53564,0.85011,0.75524,0.97095,0.86765,0.85949,0.20097,0.50062,0.79248,6.0502e-05,6.0502e-05,6.0502e-05
29,4868.89,0.26994,0.5364,0.84643,0.75561,0.98032,0.86386,0.85456,0.20388,0.47823,0.78651,5.7928e-05,5.7928e-05,5.7928e-05
30,5049.98,0.26572,0.52877,0.84396,0.74951,0.96643,0.86178,0.85227,0.20387,0.47621,0.78939,5.5354e-05,5.5354e-05,5.5354e-05
31,5227.75,0.26587,0.52598,0.85127,0.75647,0.98539,0.86465,0.85463,0.20059,0.46514,0.78715,5.278e-05,5.278e-05,5.278e-05
32,5445.97,0.26339,0.52586,0.84347,0.75884,0.9661,0.87119,0.8648,0.19447,0.46652,0.78491,5.0206e-05,5.0206e-05,5.0206e-05
