epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5733.27,0.19416,0.14454,0.81661,0.98783,0.98813,0.98921,0.98144,0.18127,0.14334,0.77574,2.9614e-05,2.9614e-05,2.9614e-05
41,5895.41,0.1795,0.11422,0.79447,0.98704,0.98915,0.98463,0.97825,0.18237,0.15709,0.77481,2.704e-05,2.704e-05,2.704e-05
42,6037.88,0.16922,0.10797,0.79101,0.98748,0.98942,0.9884,0.98156,0.18037,0.15308,0.77443,2.4466e-05,2.4466e-05,2.4466e-05
43,6180.26,0.1678,0.10669,0.78934,0.98892,0.98917,0.98908,0.98227,0.18195,0.15193,0.77529,2.1892e-05,2.1892e-05,2.1892e-05
44,6322.66,0.16374,0.10417,0.78994,0.98829,0.98884,0.99002,0.98394,0.18025,0.15207,0.77449,1.9318e-05,1.9318e-05,1.9318e-05
45,6464.55,0.16078,0.10205,0.78817,0.98955,0.98906,0.99044,0.98399,0.18163,0.15007,0.77463,1.6744e-05,1.6744e-05,1.6744e-05
46,6629.88,0.15775,0.10019,0.78738,0.98705,0.98863,0.98907,0.98236,0.18095,0.15397,0.77574,1.417e-05,1.417e-05,1.417e-05
47,6837.44,0.15724,0.09961,0.78726,0.98978,0.98823,0.99004,0.98414,0.17923,0.15171,0.77582,1.1596e-05,1.1596e-05,1.1596e-05
48,7039.45,0.15556,0.09887,0.78681,0.98986,0.98655,0.98907,0.98334,0.17936,0.15217,0.7756,9.022e-06,9.022e-06,9.022e-06
49,7250.27,0.15304,0.09729,0.78622,0.98925,0.98935,0.98906,0.98405,0.18015,0.15115,0.7761,6.448e-06,6.448e-06,6.448e-06
50,7456.35,0.15037,0.09549,0.78612,0.98988,0.98947,0.98922,0.98338,0.17906,0.15131,0.77539,3.874e-06,3.874e-06,3.874e-06
