epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,26356.4,0.21474,0.42006,0.8287,0.83257,0.9906,0.93105,0.92927,0.15084,0.32123,0.76389,2.9614e-05,2.9614e-05,2.9614e-05
41,26994.2,0.1665,0.38364,0.79563,0.85226,0.97952,0.93195,0.92945,0.15768,0.31908,0.76486,2.704e-05,2.704e-05,2.704e-05
42,27620.7,0.16383,0.37916,0.78945,0.85114,0.98101,0.92893,0.92635,0.15654,0.31938,0.76487,2.4466e-05,2.4466e-05,2.4466e-05
43,28182.5,0.16138,0.3763,0.79352,0.84189,0.98982,0.93234,0.93026,0.14939,0.31964,0.76378,2.1892e-05,2.1892e-05,2.1892e-05
44,28737.2,0.15812,0.37036,0.78738,0.85247,0.97877,0.93393,0.93206,0.15248,0.31409,0.76405,1.9318e-05,1.9318e-05,1.9318e-05
45,29319.4,0.1553,0.36835,0.79047,0.8557,0.97787,0.9327,0.93067,0.14598,0.31403,0.76212,1.6744e-05,1.6744e-05,1.6744e-05
46,29903,0.1542,0.36743,0.78595,0.84898,0.98777,0.93214,0.93059,0.14819,0.30959,0.76218,1.417e-05,1.417e-05,1.417e-05
47,30547.8,0.1528,0.35686,0.78714,0.85065,0.98436,0.93427,0.93232,0.14505,0.31008,0.76238,1.1596e-05,1.1596e-05,1.1596e-05
48,31228.3,0.14859,0.35435,0.78425,0.85452,0.98268,0.93598,0.93376,0.1476,0.30647,0.76223,9.022e-06,9.022e-06,9.022e-06
49,31758,0.14566,0.35065,0.78341,0.85555,0.98356,0.93624,0.93444,0.14223,0.30055,0.76126,6.448e-06,6.448e-06,6.448e-06
50,32447.7,0.14352,0.34321,0.78409,0.8599,0.9796,0.93806,0.9362,0.13995,0.30044,0.76071,3.874e-06,3.874e-06,3.874e-06
