epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,3484.03,0.22683,0.45006,0.8258,0.85185,0.97593,0.93639,0.93332,0.1653,0.3402,0.76212,2.9614e-05,2.9614e-05,2.9614e-05
41,3570.52,0.19124,0.41862,0.79527,0.8451,0.97879,0.93118,0.92777,0.1733,0.344,0.76263,2.704e-05,2.704e-05,2.704e-05
42,3653.98,0.18253,0.40857,0.79204,0.85137,0.98304,0.9343,0.93134,0.16172,0.3389,0.76122,2.4466e-05,2.4466e-05,2.4466e-05
43,3737.44,0.1778,0.39994,0.78954,0.85384,0.98021,0.9343,0.93082,0.16394,0.33482,0.7613,2.1892e-05,2.1892e-05,2.1892e-05
44,3822.85,0.17533,0.38893,0.79121,0.85832,0.97796,0.93368,0.93042,0.163,0.33402,0.76131,1.9318e-05,1.9318e-05,1.9318e-05
45,3908.27,0.17343,0.38934,0.79037,0.86334,0.97388,0.93641,0.93337,0.15923,0.33216,0.76017,1.6744e-05,1.6744e-05,1.6744e-05
46,3992.29,0.17205,0.38638,0.78847,0.86117,0.97329,0.94,0.93699,0.15781,0.32615,0.76046,1.417e-05,1.417e-05,1.417e-05
47,4076.57,0.16983,0.38182,0.78207,0.85783,0.98423,0.9393,0.9368,0.1555,0.32389,0.75979,1.1596e-05,1.1596e-05,1.1596e-05
48,4160.4,0.16765,0.37796,0.78784,0.86345,0.97507,0.9431,0.94055,0.15213,0.32021,0.759,9.022e-06,9.022e-06,9.022e-06
49,4244.31,0.16561,0.3718,0.79094,0.87083,0.96847,0.9437,0.9414,0.15268,0.31897,0.75928,6.448e-06,6.448e-06,6.448e-06
50,4328.11,0.16373,0.37012,0.78714,0.87279,0.97076,0.9443,0.94198,0.15214,0.31695,0.75947,3.874e-06,3.874e-06,3.874e-06
