epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5240.06,0.24602,0.39263,0.82601,0.87995,0.97151,0.94103,0.93379,0.1899,0.3332,0.75556,2.9614e-05,2.9614e-05,2.9614e-05
41,5388.72,0.20234,0.35779,0.79655,0.87554,0.97359,0.94511,0.938,0.19175,0.3309,0.75394,2.704e-05,2.704e-05,2.704e-05
42,5529.18,0.19141,0.34204,0.79166,0.88623,0.96389,0.94133,0.93333,0.19424,0.33062,0.75484,2.4466e-05,2.4466e-05,2.4466e-05
43,5668.67,0.18873,0.33676,0.78532,0.88154,0.95722,0.93635,0.92779,0.19557,0.33009,0.75483,2.1892e-05,2.1892e-05,2.1892e-05
44,5837.06,0.18473,0.32539,0.79038,0.87923,0.95611,0.93761,0.92844,0.18999,0.32898,0.75429,1.9318e-05,1.9318e-05,1.9318e-05
45,5998.7,0.18566,0.32692,0.78698,0.88139,0.9581,0.9406,0.93214,0.18632,0.32357,0.75378,1.6744e-05,1.6744e-05,1.6744e-05
46,6134.32,0.1816,0.32077,0.79025,0.88482,0.96389,0.94462,0.93702,0.18378,0.32178,0.75365,1.417e-05,1.417e-05,1.417e-05
47,6285.21,0.18318,0.32371,0.78936,0.88168,0.96539,0.93981,0.93291,0.18269,0.32475,0.75342,1.1596e-05,1.1596e-05,1.1596e-05
48,6470.64,0.18281,0.31865,0.78317,0.88312,0.95575,0.93968,0.93252,0.18096,0.32189,0.75318,9.022e-06,9.022e-06,9.022e-06
49,6632.06,0.17953,0.31329,0.79401,0.88417,0.96072,0.93965,0.93352,0.18106,0.32223,0.7532,6.448e-06,6.448e-06,6.448e-06
50,6801.87,0.17614,0.31182,0.78918,0.88503,0.96115,0.94317,0.93696,0.17987,0.32113,0.75301,3.874e-06,3.874e-06,3.874e-06
