epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,1125.51,0.21313,0.32641,0.82812,0.87708,0.96432,0.94786,0.94305,0.16848,0.2945,0.75737,2.9614e-05,2.9614e-05,2.9614e-05
41,1175.33,0.17284,0.30358,0.79381,0.88168,0.96698,0.94756,0.93951,0.17287,0.28658,0.75689,2.704e-05,2.704e-05,2.704e-05
42,1203.6,0.16859,0.29861,0.7868,0.89483,0.95176,0.94868,0.94231,0.17539,0.29199,0.75686,2.4466e-05,2.4466e-05,2.4466e-05
43,1232.35,0.16605,0.29384,0.78889,0.88997,0.9582,0.94648,0.93947,0.17524,0.29239,0.75804,2.1892e-05,2.1892e-05,2.1892e-05
44,1260.93,0.16551,0.28995,0.79284,0.88083,0.96964,0.94357,0.93709,0.16989,0.28994,0.75659,1.9318e-05,1.9318e-05,1.9318e-05
45,1289.74,0.16305,0.28698,0.78628,0.88545,0.9636,0.94504,0.93755,0.16997,0.29397,0.75735,1.6744e-05,1.6744e-05,1.6744e-05
46,1318.09,0.15748,0.28076,0.78973,0.88516,0.96795,0.94708,0.94192,0.17113,0.29043,0.75742,1.417e-05,1.417e-05,1.417e-05
47,1346.45,0.15778,0.27574,0.78932,0.87861,0.97353,0.94697,0.94222,0.16875,0.28907,0.75638,1.1596e-05,1.1596e-05,1.1596e-05
48,1374.79,0.15572,0.27337,0.78666,0.87963,0.96935,0.94518,0.94036,0.1678,0.28838,0.75579,9.022e-06,9.022e-06,9.022e-06
49,1403.15,0.15292,0.27008,0.78811,0.88827,0.96703,0.94461,0.93978,0.16875,0.28757,0.7562,6.448e-06,6.448e-06,6.448e-06
50,1431.47,0.15195,0.268,0.7863,0.88427,0.97171,0.94428,0.94025,0.16408,0.2874,0.75498,3.874e-06,3.874e-06,3.874e-06
